           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS06.CC,State the warning signs of suicide.  (REC),HE.08.VS06.SM,Identify the early signs of stress and implement stress management techniques.  (REC),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS07.CC,Identify that media and technology may contains violent messages and images.   (REQ),HE.08.VS06.INF,Differentiate between pro-social and anti-social words and actions in the media.  (REQ),,
HE12,Health Education (2012),Eighth Grade,,Violence and Suicide Prevention,,"Acquire knowledge and skills to prevent different forms of violence and suicide with a focus on communication and pro-social behaviors.  [Related ORS:  339.351 – 364 Harassment, Bullying, Cyber-bullying and Intimidation (K-12); Related OAR: 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.08.VS07.CC,Identify that media and technology may contains violent messages and images.   (REQ),HE.08.VS06.GS,Set personal media and technology viewing goals.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT01.CC,Describe health benefits of abstaining from or discontinuing tobacco and/or drug use.  (REQ),HE.12.AT01.GS,"Set goals to abstain from alcohol, tobacco and other drug use.  (REQ)",,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT01.CC,Describe health benefits of abstaining from or discontinuing tobacco and/or drug use.  (REQ),HE.12.AT01.ADV,Advocate for the benefits of abstaining from or discontinuing tobacco and/or drug use.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT02.CC,"Explain short-and long-term effects of alcohol, tobacco, inhalants and other drug use, including anabolic steroids, performance enhancing drugs and controlled substances.   (REQ)",HE.12.AT02.IC,"Demonstrate refusal skills related to alcohol, tobacco, inhalants and other drug use, including anabolic steroids, performance enhancing drugs and controlled substances.   (REQ)",,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT03.CC,"Describe the potential addictive qualities of alcohol, tobacco and other drugs.  (REQ)",HE.12.AT03.AI,Access the appropriate resources for addiction services.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT04.CC,Explain the impact of secondhand smoke.  (REQ),HE.12.AT04.SM,Demonstrate ways to avoid second-hand smoke.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT04.CC,Explain the impact of secondhand smoke.  (REQ),HE.12.AT04.DM,Use the decision making process to avoid secondhand smoke.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT05.CC,"Interpret school policies and community laws related to alcohol, tobacco, steroids, performance enhancing and illegal drug use, possession, and sales.  (REQ)",HE.12.AT05.IC,"Communicate to others the school policies and state laws around student’s non- use of alcohol, tobacco, steroids, performance enhancing and other drug use.   (REQ)",,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT05.CC,"Interpret school policies and community laws related to alcohol, tobacco, steroids, performance enhancing and illegal drug use, possession, and sales.  (REQ)",HE.12.AT05.ADV,Advocate for a no-tolerance zone in school and community settings.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT06.CC,"Explain the relationship between alcohol and other drug use on vehicle crashes, injuries, violence, suicide, and sexual risk behavior.  (REQ)",HE.12.AT06.INF,"Analyze the influences and pressures teenagers face regarding issues of alcohol, tobacco and other drug use.  (REQ)",,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT06.CC,"Explain the relationship between alcohol and other drug use on vehicle crashes, injuries, violence, suicide, and sexual risk behavior.  (REQ)",HE.12.AT06.IC,Demonstrate refusal skills around drinking and driving or being a passenger when the driver has been drinking and driving.   (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT07.CC,"Explain the effects of alcohol, tobacco and other drug use during pregnancy.  (REQ)",HE.12.AT07.ADV,"Advocate for abstaining from alcohol, tobacco and other drugs during pregnancy.  (REQ)",,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT08.CC,"Explain the effects of alcohol, tobacco, steroids, performance enhancing, other drug use, and controlled substances on athletic performance.  (REQ)",HE.12.AT08.INF,Analyze peer and media influence regarding steroid use.  (REQ),,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT08.CC,"Explain the effects of alcohol, tobacco, steroids, performance enhancing, other drug use, and controlled substances on athletic performance.  (REQ)",HE.12.AT08.ADV,"Advocate for athletes to abstain from alcohol, tobacco and other drugs.  (REQ)",,
HE12,Health Education (2012),High School,,"Alcohol, Tobacco and Other Drug prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related ORS:  342.726 Steroids and Performance Enhancing Substances (K-12); Related OAR: 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); 581-022-0416 Steroids and Performance Enhancing Substances (K-12); 581-022-1510 Comprehensive Guidance and Counseling (K-12)]",HE.12.AT09.CC,Identify the occupational dangers of drug use in the workplace.  (REQ),HE.12.AT09.AI,Access information about drug testing and workplace safety rules.   (REQ),,
HE12,Health Education (2012),High School,,Prevention and Control of Disease,,"Acquire knowledge and skills to understand and practice health habits that can prevent and/or control disease.  [Related OARs: 581-022-1210 District Curriculum, instruction of infectious diseases, including AIDS/HIV and Hepatitis B (K-12); 581-022-1440 Human Sexuality Education]",HE.12.PC01.CC,Describe strategies for preventing communicable diseases and early detection of non-communicable diseases.  (REQ),HE.12.PC01.AI,Identify school and community resources that support early detection.  (REQ),,
